name,cntry,dweight,pspwght,pweight,anweight,trstprl,trstlgl
ESS11e03,AT,0.68042654,0.3457754,0.33091453,0.114422105,10,10
ESS11e03,AT,1.746908,0.65911335,0.33091453,0.21811019,2,6
ESS11e03,AT,1.0973082,1.1081897,0.33091453,0.3667161,4,7
ESS11e03,AT,0.4328124,0.6073183,0.33091453,0.20097044,7,6
ESS11e03,AT,0.53681755,0.27279642,0.33091453,0.0902723,4,4
ESS11e03,AT,1.4876366,1.8297577,0.33091453,0.6054934,1,4
ESS11e03,AT,1.8968233,1.355724,0.33091453,0.44862875,1,5
ESS11e03,AT,2.0805652,2.8446944,0.33091453,0.9413507,4,8
ESS11e03,AT,0.9475608,3.028117,0.33091453,1.0020479,6,7
ESS11e03,AT,1.4462273,1.0336686,0.33091453,0.34205598,4,7
ESS11e03,AT,0.83968544,0.22525504,0.33091453,0.07454017,7,8
ESS11e03,AT,0.98635733,0.70498276,0.33091453,0.23328903,88,7
ESS11e03,AT,0.94756085,1.5829294,0.33091453,0.5238143,4,2
ESS11e03,AT,0.87345386,0.46566242,0.33091453,0.15409446,5,7
ESS11e03,AT,1.159529,0.9490918,0.33091453,0.31406826,4,4
ESS11e03,AT,0.45688316,1.6801076,0.33091453,0.55597204,0,0
ESS11e03,AT,0.6098981,0.4845923,0.33091453,0.16035862,6,8
ESS11e03,AT,0.68042654,0.40849575,0.33091453,0.13517718,9,10
ESS11e03,AT,0.69250387,0.52661926,0.33091453,0.17426597,8,9
ESS11e03,AT,0.39378572,0.13054818,0.33091453,0.043200288,7,8
ESS11e03,AT,0.74771136,1.1254004,0.33091453,0.37241134,4,4
ESS11e03,AT,0.9137663,1.0853188,0.33091453,0.35914776,7,7
ESS11e03,AT,1.3608531,1.0348706,0.33091453,0.34245372,5,4
ESS11e03,AT,1.0828215,0.65007424,0.33091453,0.215119,5,10
ESS11e03,AT,0.32879525,0.109002635,0.33091453,0.036070555,6,7
ESS11e03,AT,0.45688316,1.4600604,0.33091453,0.4831552,10,7
ESS11e03,AT,0.6854701,0.5212708,0.33091453,0.17249608,4,8
ESS11e03,AT,0.48490664,1.2106962,0.33091453,0.40063697,3,6
ESS11e03,AT,1.3096625,1.3990275,0.33091453,0.4629585,1,3
ESS11e03,AT,3.516255,4.0000234,0.33091453,1.3236659,3,3
ESS11e03,AT,0.340339,0.80335426,0.33091453,0.2658416,3,4
ESS11e03,AT,1.8296943,2.0217097,0.33091453,0.6690131,6,6
ESS11e03,AT,1.0159594,2.7484126,0.33091453,0.90948963,9,10
ESS11e03,AT,0.872949,0.2766563,0.33091453,0.09154959,8,9
ESS11e03,AT,0.43282503,0.2440759,0.33091453,0.08076826,6,7
ESS11e03,AT,0.94841164,0.481958,0.33091453,0.1594869,7,9
ESS11e03,AT,1.1622558,0.8388845,0.33091453,0.27759907,1,5
ESS11e03,AT,0.8648057,0.71826625,0.33091453,0.23768474,3,10
ESS11e03,AT,0.62733126,0.19881468,0.33091453,0.06579067,5,7
ESS11e03,AT,1.5751429,1.2515225,0.33091453,0.414147,9,10
ESS11e03,AT,0.5368175,0.38368163,0.33091453,0.12696582,3,3
ESS11e03,AT,0.43594596,0.116947435,0.33091453,0.038699605,7,8
ESS11e03,AT,0.86565006,0.2743429,0.33091453,0.09078405,6,10
ESS11e03,AT,0.5368175,0.54214025,0.33091453,0.17940208,6,8
ESS11e03,AT,0.7602457,0.4053074,0.33091453,0.13412212,5,5
ESS11e03,AT,1.0806355,0.6487619,0.33091453,0.21468475,5,8
ESS11e03,AT,0.4364745,0.14470044,0.33091453,0.047883477,5,10
ESS11e03,AT,0.32879525,0.2691234,0.33091453,0.08905684,4,4
ESS11e03,AT,2.1405962,1.5299567,0.33091453,0.5062849,4,8
ESS11e03,AT,0.41984272,0.13305727,0.33091453,0.04403058,4,8
ESS11e03,AT,0.7798974,0.8331143,0.33091453,0.27568963,6,8
ESS11e03,AT,0.43282506,0.2440759,0.33091453,0.08076826,3,3
ESS11e03,AT,1.3078378,1.0391382,0.33091453,0.34386593,5,7
ESS11e03,AT,0.47378042,1.7422447,0.33091453,0.5765341,3,0
ESS11e03,AT,1.4280057,0.8968005,0.33091453,0.2967643,3,3
ESS11e03,AT,2.7803075,2.2733357,0.33091453,0.7522798,88,88
ESS11e03,AT,1.6548057,0.6243626,0.33091453,0.20661065,4,3
ESS11e03,AT,0.8700288,0.23339494,0.33091453,0.07723378,7,9
ESS11e03,AT,0.3978003,0.5839044,0.33091453,0.19322245,7,7
ESS11e03,AT,0.55908823,0.3511124,0.33091453,0.11618819,7,7
ESS11e03,AT,0.5811279,0.18417189,0.33091453,0.060945153,5,2
ESS11e03,AT,0.92452425,2.6609328,0.33091453,0.8805413,2,5
ESS11e03,AT,0.4073112,0.24452992,0.33091453,0.080918506,6,5
ESS11e03,AT,1.073635,0.67425156,0.33091453,0.22311963,6,8
ESS11e03,AT,0.32879528,0.1752897,0.33091453,0.05800591,5,10
ESS11e03,AT,0.65053284,0.4947026,0.33091453,0.16370428,6,6
ESS11e03,AT,0.9332868,0.29577848,0.33091453,0.0978774,5,4
ESS11e03,AT,0.6670056,0.40043828,0.33091453,0.13251084,3,4
ESS11e03,AT,1.538732,1.0997832,0.33091453,0.36393422,4,1
ESS11e03,AT,0.9137663,1.3412554,0.33091453,0.44384092,0,1
ESS11e03,AT,0.71400285,0.42865354,0.33091453,0.14184768,6,7
ESS11e03,AT,0.3912093,0.19880244,0.33091453,0.065786615,6,4
ESS11e03,AT,1.4504194,1.0366616,0.33091453,0.3430464,4,7
ESS11e03,AT,1.2988544,1.9065003,0.33091453,0.63088864,6,7
ESS11e03,AT,0.99414355,0.75600445,0.33091453,0.25017285,7,6
ESS11e03,AT,0.6098981,0.67390347,0.33091453,0.22300445,3,9
ESS11e03,AT,0.9484116,0.481958,0.33091453,0.1594869,3,5
ESS11e03,AT,0.48294935,0.67766964,0.33091453,0.22425073,0,10
ESS11e03,AT,0.94756085,1.3296077,0.33091453,0.43998653,6,8
ESS11e03,AT,0.6377034,0.93604124,0.33091453,0.30974963,3,3
ESS11e03,AT,1.3101807,1.040997,0.33091453,0.34448105,0,7
